,Unnamed: 0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Result
132,132,0.119646497070789,1245.6796875,46.1704444885254,13.8771915435791,5.07536602020264,4.17915296554565,2.78327107429504,4327.8994140625,140.874435424805,38,162.749847412109,0.0499419011175632,80.278434753418,8.65106296539307,4.38060331344604,2.5159273147583,0.787508606910706,0.352101624011993,410.118347167969,17.2496509552002,14.4066352844238,30.5357055664063,2.0,7,2
133,133,0.200051054358482,1295.61547851563,47.8902587890625,13.6701354980469,7.77460861206055,5.54534387588501,3.09563636779785,4132.5263671875,136.474945068359,38,162.668884277344,0.0723907575011253,89.8172607421875,8.19661235809326,5.65074825286865,3.60469961166382,0.848559260368347,0.402552306652069,433.786926269531,16.2281017303467,12.7115726470947,30.8625869750977,3.0,7,2
134,134,0.278470009565353,2061.81372070313,73.6433410644531,8.86967754364014,7.51806497573853,4.08049011230469,2.9636402130127,4297.53369140625,146.101104736328,38,163.153610229492,0.102217637002468,152.868240356445,7.77296590805054,4.36049222946167,3.07196521759033,1.37260687351227,0.380981981754303,508.514404296875,16.4103736877441,12.964804649353,31.0153656005859,2.0,7,1
135,135,1.00652301311493,2235.3701171875,75.555549621582,17.4765663146973,18.2467956542969,9.76446151733398,3.74674463272095,4247.9853515625,138.558715820313,38,163.659271240234,0.382546871900558,161.306045532227,6.57903671264648,8.88594341278076,7.12661600112915,3.03356504440308,0.619447529315948,593.94091796875,18.184103012085,14.0816974639893,29.1299877166748,1.0,7,2
136,136,0.0692062973976135,1148.53894042969,41.7986068725586,4.71854877471924,2.35501050949097,2.09182906150818,2.96636486053467,4158.40869140625,135.912414550781,38,163.836959838867,0.0202518198639154,79.7829437255859,7.66358947753906,2.59718537330627,1.05233299732208,0.866805791854858,0.395376622676849,447.091064453125,16.3946075439453,12.8567867279053,28.8228454589844,2.0,1,1
137,137,0.0726189091801643,1201.77587890625,41.3099403381348,8.46410083770752,2.20347189903259,2.16091728210449,3.26498985290527,4294.38330078125,139.79345703125,38,163.947128295898,0.0293956119567156,75.5494155883789,7.58419370651245,2.36579346656799,1.26254427433014,0.615597903728485,0.519341945648193,527.541076660156,17.7650165557861,13.1127624511719,28.55397605896,1.0,1,1
138,138,7.91028928756714,4454.43359375,144.9931640625,32.427303314209,15.7388830184937,12.7835788726807,12.9195957183838,4523.59130859375,164.970520019531,38,164.125015258789,3.21462059020996,1409.9931640625,29.9849472045898,12.7626600265503,7.15393352508545,5.71410226821899,1.65625774860382,699.473876953125,34.3480224609375,17.6657314300537,37.8549041748047,10.0,1,3
139,139,0.880008935928345,2256.4873046875,76.963134765625,21.1867294311523,12.8097620010376,8.07806777954102,2.5466423034668,4404.3359375,143.718627929688,38,163.846176147461,0.277033805847168,170.818496704102,6.24634981155396,9.21644401550293,5.7916111946106,3.39534497261047,0.321224451065063,417.822448730469,16.2357730865479,12.3155031204224,29.5745182037354,4.0,1,2
140,140,0.174531206488609,2008.7529296875,72.2539138793945,8.2973051071167,4.20012474060059,3.38684248924255,5.59078645706177,4311.11181640625,140.328002929688,38,357.923034667969,0.0574258044362068,145.067535400391,7.53283262252808,3.04169917106628,1.77141892910004,1.12509799003601,1.3439759016037,1333.24633789063,35.2388496398926,17.2676258087158,102.339485168457,2.0,5,5
141,141,0.0639251470565796,1202.76330566406,41.2012481689453,5.62028312683105,2.51710247993469,2.0715594291687,3.16030764579773,4274.33251953125,139.130813598633,38,164.950897216797,0.0286553055047989,75.5516891479492,7.52604579925537,2.38177418708801,1.2118558883667,0.504483222961426,0.632950186729431,1510.37426757813,36.3361206054688,20.4310569763184,31.4863567352295,1.0,5,1
142,142,0.205379247665405,2025.88269042969,72.2823486328125,7.03984546661377,4.1062650680542,2.4106171131134,3.86210298538208,4284.55419921875,140.278305053711,38,163.722534179688,0.0659374445676804,151.180084228516,7.41834545135498,2.46086502075195,1.49434685707092,1.12328886985779,0.380219370126724,668.908020019531,20.9923419952393,15.0512390136719,28.0506210327148,2.0,5,1
143,143,0.19411601126194,2028.10034179688,72.5279083251953,6.49300241470337,3.82832503318787,1.8883603811264,3.75610852241516,4286.67041015625,139.532424926758,38,163.65283203125,0.0585272051393986,151.373397827148,7.45766258239746,2.08067393302917,1.31064558029175,0.868579268455505,0.386276334524155,696.476684570313,20.6179504394531,13.7533826828003,28.056360244751,1.0,5,1
144,144,0.0852072983980179,1144.44946289063,41.5702133178711,7.17442798614502,3.86781978607178,2.86641263961792,3.02186059951782,4268.734375,138.948593139648,38,164.432235717773,0.0365513600409031,72.9203872680664,7.54605484008789,3.12288403511047,1.78888523578644,0.696360945701599,0.509695827960968,1536.87023925781,37.034553527832,18.9329643249512,31.8849182128906,1.0,5,1
145,145,1.42200148105621,3190.73852539063,125.882194519043,38.0,16.8100547790527,16.0699977874756,4.27814388275146,4269.736328125,138.981216430664,38,163.753555297852,0.45562756061554,484.519958496094,12.2884483337402,24.0817909240723,8.92353534698486,3.90267181396484,0.49149477481842,810.053039550781,22.9725780487061,15.7782974243164,27.66135597229,7.0,5,3
146,146,0.179644271731377,2027.7197265625,72.3051986694336,6.99373149871826,3.32318758964539,2.25072979927063,3.87261748313904,4288.14990234375,139.580581665039,38,163.754196166992,0.0523934885859489,151.105987548828,7.45832109451294,2.5104033946991,1.31981861591339,1.15347409248352,0.388520747423172,673.134033203125,20.3822650909424,14.9791097640991,28.0477619171143,1.0,5,1
147,147,1.72223114967346,3462.10888671875,133.779541015625,35.8517608642578,35.9831733703613,17.1467838287354,5.82071590423584,4287.29541015625,141.833251953125,38,171.899154663086,0.592061877250671,693.503967285156,18.2005729675293,12.16042137146,15.8843069076538,3.05849385261536,1.01672649383545,1401.18103027344,32.6482009887695,28.1679286956787,73.7195053100586,6.0,5,2
148,148,0.13031131029129,1231.92944335938,42.3506278991699,12.2404556274414,4.14279747009277,4.12751150131226,3.9487407207489,4270.9228515625,139.019836425781,38,163.488876342773,0.0604755915701389,84.0246047973633,7.70663022994995,5.33710241317749,2.03050827980042,1.62875330448151,0.496947586536407,678.223449707031,21.7737941741943,22.2540817260742,28.5545597076416,2.0,7,2
149,149,0.174531206488609,2008.7529296875,72.2539138793945,8.2973051071167,4.20012474060059,3.38684248924255,31.2295207977295,4598.99658203125,181.234436035156,38,299.941284179688,0.0574258044362068,145.067535400391,7.53283262252808,3.04169917106628,1.77141892910004,1.12509799003601,4.91356563568115,1739.50830078125,40.1506958007813,33.8012504577637,129.792343139648,2.0,7,5
